Specialty	Class	Year	No. of Programs	Positions Offered	Unfilled Programs	U.S. Senior Applicants	Total Applicants	U.S. Senior Matches	Total Matches	U.S. Senior % Filled	Total % Filled	U.S. Senior Ranked Positions	Total Ranked Positions	U.S. Senior Match Rate %	Total Match Rate %	U.S. Senior Average Ranked Programs	Total Average Ranked Programs	Change in No. of Programs	Change in Positions Offered	Change in Unfilled Programs	Change in U.S. Senior Applicants	Change in Total Applicants	Change in U.S. Senior Matches	Change in Total Matches	Change in U.S. Senior % Filled	Change in Total % Filled	Change in U.S. Senior Ranked Positions	Change in Total Ranked Positions	Change in U.S. Senior Match Rate %	Change in Total Match Rate %	Change in U.S. Senior Average Ranked Programs	Change in Total Average Ranked Programs	% Change in No. of Programs	% Change in Positions Offered	% Change in Unfilled Programs	% Change in U.S. Senior Applicants	% Change in Total Applicants	% Change in U.S. Senior Matches	% Change in Total Matches	% Change in U.S. Senior % Filled	% Change in Total % Filled	% Change in U.S. Senior Ranked Positions	% Change in Total Ranked Positions	% Change in U.S. Senior Match Rate %	% Change in Total Match Rate %	% Change in U.S. Senior Average Ranked Programs	% Change in Total Average Ranked Programs	PGY1	PGY2	Total	Predominance	Margin	% Predominance	Exclusivity	Category
Anesthesiology	PGY1	2022	165	1509	1	1489	2691	1054	1508	69.8	99.9	15846	22181	70.8	56	10.6	8.2	6	49	-1	29	-15	30	51	-0.29999999999999716	0.10000000000000853	-131	-865	0.7000000000000028	2.200000000000003	-0.3000000000000007	-0.3000000000000007	3.8	3.4	-50	2	-0.6	2.9	3.5	-0.4	0.1	-0.8	-3.8	1	4.1	-2.8	-3.5	1509	346	1855	PGY1	1163	81.3	Predominant	PGY1 Predominant
Anesthesiology	PGY2	2012	83	557	10	1052	1549	397	540	71.3	96.9	6522	8135	37.7	34.9	6.2	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	919	557	1476	PGY1	362	62.3	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2013	86	580	9	1067	1628	398	562	68.6	96.9	6644	8696	37.3	34.5	6.2	5.3	3	23	-1	15	79	1	22	-2.700000000000003	0	122	561	-0.4000000000000057	-0.3999999999999986	0	0	3.6	4.1	-10	1.4	5.1	0.3	4.1	-3.8	0	1.9	6.9	-1.1	-1.1	0	0	1073	580	1653	PGY1	493	64.9	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2014	80	515	14	1001	1580	327	482	63.5	93.6	6099	8304	32.7	30.5	6.1	5.3	-6	-65	5	-66	-48	-71	-80	-5.099999999999994	-3.3000000000000114	-545	-392	-4.599999999999994	-4	-0.10000000000000053	0	-7	-11.2	55.6	-6.2	-2.9	-17.8	-14.2	-7.4	-3.4	-8.2	-4.5	-12.3	-11.6	-1.6	0	1049	515	1564	PGY1	534	67.1	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2015	78	506	14	1017	1581	315	469	62.3	92.7	5928	7976	31	29.7	5.8	5	-2	-9	0	16	1	-12	-13	-1.2000000000000028	-0.8999999999999915	-171	-328	-1.7000000000000028	-0.8000000000000007	-0.2999999999999998	-0.2999999999999998	-2.5	-1.7	0	1.6	0.1	-3.7	-2.7	-1.9	-1	-2.8	-3.9	-5.2	-2.6	-4.9	-5.7	1094	506	1600	PGY1	588	68.4	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2016	77	481	16	952	1540	290	441	60.3	91.7	5439	7788	30.5	28.6	5.7	5.1	-1	-25	2	-65	-41	-25	-28	-2	-1	-489	-188	-0.5	-1.0999999999999979	-0.09999999999999964	0.09999999999999964	-1.3	-4.9	14.3	-6.4	-2.6	-7.9	-6	-3.2	-1.1	-8.2	-2.4	-1.6	-3.7	-1.7	2	1127	481	1608	PGY1	646	70.1	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2017	71	441	12	864	1504	229	414	51.9	93.9	4760	7249	26.5	27.5	5.5	4.8	-6	-40	-4	-88	-36	-61	-27	-8.399999999999999	2.200000000000003	-679	-539	-4	-1.1000000000000014	-0.20000000000000018	-0.2999999999999998	-7.8	-8.3	-25	-9.2	-2.3	-21	-6.1	-13.9	2.4	-12.5	-6.9	-13.1	-3.8	-3.5	-5.9	1202	441	1643	PGY1	761	73.2	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2018	75	447	4	919	1601	246	442	55	98.9	5143	7781	26.8	27.6	5.6	4.9	4	6	-8	55	97	17	28	3.1000000000000014	5	383	532	0.3000000000000007	0.10000000000000142	0.09999999999999964	0.10000000000000053	5.6	1.4	-66.7	6.4	6.4	7.4	6.8	6	5.3	8	7.3	1.1	0.4	1.8	2.1	1253	447	1700	PGY1	806	73.7	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2019	71	428	6	966	1718	246	420	57.5	98.1	5299	7892	25.5	24.4	5.5	4.6	-4	-19	2	47	117	0	-22	2.5	-0.8000000000000114	156	111	-1.3000000000000007	-3.200000000000003	-0.09999999999999964	-0.3000000000000007	-5.3	-4.3	50	5.1	7.3	0	-5	4.5	-0.8	3	1.4	-4.9	-11.6	-1.8	-6.1	1337	428	1765	PGY1	909	75.8	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2020	62	398	1	1038	1743	265	396	66.6	99.5	5353	7644	25.5	22.7	5.2	4.4	-9	-30	-5	72	25	19	-24	9.099999999999994	1.4000000000000057	54	-248	0	-1.6999999999999993	-0.2999999999999998	-0.1999999999999993	-12.7	-7	-83.3	7.5	1.5	7.7	-5.7	15.8	1.4	1	-3.1	0	-7	-5.5	-4.3	1370	398	1768	PGY1	972	77.5	Mixed	PGY1 Mixed
Anesthesiology	PGY2	2021	57	339	0	1030	1874	211	339	62.2	100	5520	8246	20.5	18.1	5.4	4.4	-5	-59	-1	-8	131	-54	-57	-4.3999999999999915	0.5	167	602	-5	-4.599999999999998	0.20000000000000018	0	-8.1	-14.8	-100	-0.8	7.5	-20.4	-14.4	-6.6	0.5	3.1	7.9	-19.6	-20.3	3.8	0	1460	339	1799	PGY1	1121	81.2	Predominant	PGY1 Predominant
Anesthesiology	PGY2	2022	58	346	0	1094	1812	232	346	67.1	100	5792	7881	21.2	19.1	5.3	4.3	1	7	0	64	-62	21	7	4.8999999999999915	0	272	-365	0.6999999999999993	1	-0.10000000000000053	-0.10000000000000053	1.8	2.1	NA	6.2	-3.3	10	2.1	7.9	0	4.9	-4.4	3.4	5.5	-1.9	-2.3	1509	346	1855	PGY1	1163	81.3	Predominant	PGY1 Predominant
Child Neurology	PGY1	2012	71	99	17	87	147	58	79	58.6	79.8	546	699	66.7	53.7	6.3	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	47	146	PGY1	52	67.8	Mixed	PGY1 Mixed
Child Neurology	PGY1	2013	85	123	19	91	196	64	102	52	82.9	643	973	70.3	52	7.1	5	14	24	2	4	49	6	23	-6.600000000000001	3.1000000000000085	97	274	3.5999999999999943	-1.7000000000000028	0.7999999999999998	0.20000000000000018	19.7	24.2	11.8	4.6	33.3	10.3	29.1	-11.3	3.9	17.8	39.2	5.4	-3.2	12.7	4.2	123	37	160	PGY1	86	76.9	Mixed	PGY1 Mixed
Child Neurology	PGY1	2014	61	92	11	88	177	66	80	71.7	87	724	967	75	45.2	8.2	5.5	-24	-31	-8	-3	-19	2	-22	19.700000000000003	4.099999999999994	81	-6	4.700000000000003	-6.799999999999997	1.0999999999999996	0.5	-28.2	-25.2	-42.1	-3.3	-9.7	3.1	-21.6	37.9	4.9	12.6	-0.6	6.7	-13.1	15.5	10	92	28	120	PGY1	64	76.7	Mixed	PGY1 Mixed
Child Neurology	PGY1	2015	63	104	9	86	169	73	95	70.2	91.3	783	1051	84.9	56.2	9.1	6.2	2	12	-2	-2	-8	7	15	-1.5	4.299999999999997	59	84	9.900000000000006	11	0.9000000000000004	0.7000000000000002	3.3	13	-18.2	-2.3	-4.5	10.6	18.8	-2.1	4.9	8.1	8.7	13.2	24.3	11	12.7	104	24	128	PGY1	80	81.2	Predominant	PGY1 Predominant
Child Neurology	PGY1	2016	64	116	6	111	185	90	109	77.6	94	1052	1281	81.1	58.9	9.5	6.9	1	12	-3	25	16	17	14	7.3999999999999915	2.700000000000003	269	230	-3.8000000000000114	2.6999999999999957	0.40000000000000036	0.7000000000000002	1.6	11.5	-33.3	29.1	9.5	23.3	14.7	10.5	3	34.4	21.9	-4.5	4.8	4.4	11.3	116	18	134	PGY1	98	86.6	Predominant	PGY1 Predominant
Child Neurology	PGY1	2017	69	128	8	118	205	97	119	75.8	93	1180	1458	82.2	58	10	7.1	5	12	2	7	20	7	10	-1.7999999999999972	-1	128	177	1.1000000000000085	-0.8999999999999986	0.5	0.1999999999999993	7.8	10.3	33.3	6.3	10.8	7.8	9.2	-2.3	-1.1	12.2	13.8	1.4	-1.5	5.3	2.9	128	11	139	PGY1	117	92.1	Predominant	PGY1 Predominant
Child Neurology	PGY1	2018	68	134	5	113	192	101	129	75.4	96.3	1217	1513	89.4	67.2	10.8	7.9	-1	6	-3	-5	-13	4	10	-0.3999999999999915	3.299999999999997	37	55	7.200000000000003	9.200000000000003	0.8000000000000007	0.8000000000000007	-1.4	4.7	-37.5	-4.2	-6.3	4.1	8.4	-0.5	3.5	3.1	3.8	8.8	15.9	8	11.3	134	8	142	PGY1	126	94.4	Predominant	PGY1 Predominant
Child Neurology	PGY1	2019	71	145	12	114	205	102	133	70.3	91.7	1208	1545	89.5	64.9	10.6	7.5	3	11	7	1	13	1	4	-5.1000000000000085	-4.599999999999994	-9	32	0.09999999999999432	-2.299999999999997	-0.20000000000000107	-0.40000000000000036	4.4	8.2	140	0.9	6.8	1	3.1	-6.8	-4.8	-0.7	2.1	0.1	-3.4	-1.9	-5.1	145	11	156	PGY1	134	92.9	Predominant	PGY1 Predominant
Child Neurology	PGY1	2020	73	159	7	123	213	111	151	69.8	95	1338	1760	90.2	70.9	10.9	8.3	2	14	-5	9	8	9	18	-0.5	3.299999999999997	130	215	0.7000000000000028	6	0.3000000000000007	0.8000000000000007	2.8	9.7	-41.7	7.9	3.9	8.8	13.5	-0.7	3.6	10.8	13.9	0.8	9.2	2.8	10.7	159	9	168	PGY1	150	94.6	Predominant	PGY1 Predominant
Child Neurology	PGY1	2021	77	159	10	109	218	100	147	62.9	92.5	1475	2109	91.7	67.4	13.5	9.7	4	0	3	-14	5	-11	-4	-6.899999999999999	-2.5	137	349	1.5	-3.5	2.5999999999999996	1.3999999999999986	5.5	0	42.9	-11.4	2.3	-9.9	-2.6	-9.9	-2.6	10.2	19.8	1.7	-4.9	23.9	16.9	159	8	167	PGY1	151	95.2	Predominant	PGY1 Predominant
Child Neurology	PGY1	2022	75	166	14	118	231	102	150	61.4	90.4	1588	2198	86.4	64.9	13.5	9.5	-2	7	4	9	13	2	3	-1.5	-2.0999999999999943	113	89	-5.299999999999997	-2.5	0	-0.1999999999999993	-2.6	4.4	40	8.3	6	2	2	-2.4	-2.3	7.7	4.2	-5.8	-3.7	0	-2.1	166	7	173	PGY1	159	96	Predominant	PGY1 Predominant
Child Neurology	PGY2	2012	33	47	11	76	113	23	35	48.9	74.5	288	379	30.3	31	3.8	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	47	146	PGY1	52	67.8	Mixed	PGY1 Mixed
Child Neurology	PGY2	2013	27	37	8	65	122	14	26	37.8	70.3	205	313	21.5	21.3	3.2	2.6	-6	-10	-3	-11	9	-9	-9	-11.100000000000001	-4.200000000000003	-83	-66	-8.8	-9.7	-0.5999999999999996	-0.7999999999999998	-18.2	-21.3	-27.3	-14.5	8	-39.1	-25.7	-22.7	-5.6	-28.8	-17.4	-29	-31.3	-15.8	-23.5	123	37	160	PGY1	86	76.9	Mixed	PGY1 Mixed
Child Neurology	PGY2	2014	21	28	7	54	111	11	20	39.3	71.4	109	208	20.4	18	2	1.9	-6	-9	-1	-11	-11	-3	-6	1.5	1.1000000000000085	-96	-105	-1.1000000000000014	-3.3000000000000007	-1.2000000000000002	-0.7000000000000002	-22.2	-24.3	-12.5	-16.9	-9	-21.4	-23.1	4	1.6	-46.8	-33.5	-5.1	-15.5	-37.5	-26.9	92	28	120	PGY1	64	76.7	Mixed	PGY1 Mixed
Child Neurology	PGY2	2015	20	24	7	44	100	7	17	29.2	70.8	90	189	15.9	17	2	1.9	-1	-4	0	-10	-11	-4	-3	-10.099999999999998	-0.6000000000000085	-19	-19	-4.499999999999998	-1	0	0	-4.8	-14.3	0	-18.5	-9.9	-36.4	-15	-25.7	-0.8	-17.4	-9.1	-22.1	-5.6	0	0	104	24	128	PGY1	80	81.2	Predominant	PGY1 Predominant
Child Neurology	PGY2	2016	16	18	2	63	104	8	16	44.4	88.9	120	173	12.7	15.4	1.9	1.7	-4	-6	-5	19	4	1	-1	15.2	18.10000000000001	30	-16	-3.200000000000001	-1.5999999999999996	-0.10000000000000009	-0.19999999999999996	-20	-25	-71.4	43.2	4	14.3	-5.9	52.1	25.6	33.3	-8.5	-20.1	-9.4	-5	-10.5	116	18	134	PGY1	98	86.6	Predominant	PGY1 Predominant
Child Neurology	PGY2	2017	11	11	2	61	91	5	9	45.5	81.8	94	133	8.2	9.9	1.5	1.5	-5	-7	0	-2	-13	-3	-7	1.1000000000000014	-7.1000000000000085	-26	-40	-4.5	-5.5	-0.3999999999999999	-0.19999999999999996	-31.2	-38.9	0	-3.2	-12.5	-37.5	-43.8	2.5	-8	-21.7	-23.1	-35.4	-35.7	-21.1	-11.8	128	11	139	PGY1	117	92.1	Predominant	PGY1 Predominant
Child Neurology	PGY2	2018	7	8	1	58	87	3	7	37.5	87.5	82	118	5.2	8	1.4	1.4	-4	-3	-1	-3	-4	-2	-2	-8	5.700000000000003	-12	-15	-2.999999999999999	-1.9000000000000004	-0.10000000000000009	-0.10000000000000009	-36.4	-27.3	-50	-4.9	-4.4	-40	-22.2	-17.6	7	-12.8	-11.3	-36.6	-19.2	-6.7	-6.7	134	8	142	PGY1	126	94.4	Predominant	PGY1 Predominant
Child Neurology	PGY2	2019	9	11	2	51	90	1	9	9.1	81.8	66	109	2	10	1.3	1.2	2	3	1	-7	3	-2	2	-28.4	-5.700000000000003	-16	-9	-3.2	2	-0.09999999999999987	-0.19999999999999996	28.6	37.5	100	-12.1	3.4	-66.7	28.6	-75.7	-6.5	-19.5	-7.6	-61.5	25	-7.1	-14.3	145	11	156	PGY1	134	92.9	Predominant	PGY1 Predominant
Child Neurology	PGY2	2020	7	9	3	41	69	1	6	11.1	66.7	45	77	2.4	8.7	1.1	1.1	-2	-2	1	-10	-21	0	-3	2	-15.099999999999994	-21	-32	0.3999999999999999	-1.3000000000000007	-0.19999999999999996	-0.09999999999999987	-22.2	-18.2	50	-19.6	-23.3	0	-33.3	22	-18.5	-31.8	-29.4	20	-13	-15.4	-8.3	159	9	168	PGY1	150	94.6	Predominant	PGY1 Predominant
Child Neurology	PGY2	2021	6	8	2	39	75	1	6	12.5	75	48	92	2.6	8	1.2	1.2	-1	-1	-1	-2	6	0	0	1.4000000000000004	8.299999999999997	3	15	0.20000000000000018	-0.6999999999999993	0.09999999999999987	0.09999999999999987	-14.3	-11.1	-33.3	-4.9	8.7	0	0	12.6	12.4	6.7	19.5	8.3	-8	9.1	9.1	159	8	167	PGY1	151	95.2	Predominant	PGY1 Predominant
Child Neurology	PGY2	2022	4	7	0	32	56	2	7	28.6	100	33	61	6.2	12.5	1	1.1	-2	-1	-2	-7	-19	1	1	16.1	25	-15	-31	3.6	4.5	-0.19999999999999996	-0.09999999999999987	-33.3	-12.5	-100	-17.9	-25.3	100	16.7	128.8	33.3	-31.2	-33.7	138.5	56.2	-16.7	-8.3	166	7	173	PGY1	159	96	Predominant	PGY1 Predominant
Dermatology	PGY1	2012	10	23	0	153	164	22	23	95.7	100	253	269	14.4	14	1.7	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	340	363	PGY2	317	93.7	Predominant	PGY2 Predominant
Dermatology	PGY1	2013	22	38	1	174	243	21	37	55.3	97.4	260	384	12.1	15.2	1.5	1.6	12	15	1	21	79	-1	14	-40.400000000000006	-2.5999999999999943	7	115	-2.3000000000000007	1.1999999999999993	-0.19999999999999996	0	120	65.2	Inf	13.7	48.2	-4.5	60.9	-42.2	-2.6	2.8	42.8	-16	8.6	-11.8	0	38	369	407	PGY2	331	90.7	Predominant	PGY2 Predominant
Dermatology	PGY1	2014	9	20	0	168	179	20	20	100	100	234	247	11.9	11.2	1.4	1.4	-13	-18	-1	-6	-64	-1	-17	44.7	2.5999999999999943	-26	-137	-0.1999999999999993	-4	-0.10000000000000009	-0.20000000000000018	-59.1	-47.4	-100	-3.4	-26.3	-4.8	-45.9	80.8	2.7	-10	-35.7	-1.7	-26.3	-6.7	-12.5	20	380	400	PGY2	360	95	Predominant	PGY2 Predominant
Dermatology	PGY1	2015	9	22	0	170	186	20	22	90.9	100	241	259	11.8	11.8	1.4	1.4	0	2	0	2	7	0	2	-9.099999999999994	0	7	12	-0.09999999999999964	0.6000000000000014	0	0	0	10	NA	1.2	3.9	0	10	-9.1	0	3	4.9	-0.8	5.4	0	0	22	385	407	PGY2	363	94.6	Predominant	PGY2 Predominant
Dermatology	PGY1	2016	9	21	0	174	182	21	21	100	100	259	268	12.1	11.5	1.5	1.5	0	-1	0	4	-4	1	-1	9.099999999999994	0	18	9	0.29999999999999893	-0.3000000000000007	0.10000000000000009	0.10000000000000009	0	-4.5	NA	2.4	-2.2	5	-4.5	10	0	7.5	3.5	2.5	-2.5	7.1	7.1	21	399	420	PGY2	378	95	Predominant	PGY2 Predominant
Dermatology	PGY1	2017	11	26	0	216	239	24	26	92.3	100	321	344	11.1	10.9	1.5	1.4	2	5	0	42	57	3	5	-7.700000000000003	0	62	76	-1	-0.5999999999999996	0	-0.10000000000000009	22.2	23.8	NA	24.1	31.3	14.3	23.8	-7.7	0	23.9	28.4	-8.3	-5.2	0	-6.7	26	423	449	PGY2	397	94.2	Predominant	PGY2 Predominant
Dermatology	PGY1	2018	11	25	1	189	212	22	23	88	92	277	306	11.6	10.8	1.5	1.4	0	-1	1	-27	-27	-2	-3	-4.299999999999997	-8	-44	-38	0.5	-0.09999999999999964	0	0	0	-3.8	Inf	-12.5	-11.3	-8.3	-11.5	-4.7	-8	-13.7	-11	4.5	-0.9	0	0	25	426	451	PGY2	401	94.5	Predominant	PGY2 Predominant
Dermatology	PGY1	2019	13	30	1	217	265	23	28	76.7	93.3	311	369	10.6	10.6	1.4	1.4	2	5	0	28	53	1	5	-11.299999999999997	1.2999999999999972	34	63	-1	-0.20000000000000107	-0.10000000000000009	0	18.2	20	0	14.8	25	4.5	21.7	-12.8	1.4	12.3	20.6	-8.6	-1.9	-6.7	0	30	447	477	PGY2	417	93.7	Predominant	PGY2 Predominant
Dermatology	PGY1	2020	14	31	0	195	239	23	31	74.2	100	304	367	11.8	13	1.6	1.5	1	1	-1	-22	-26	0	3	-2.5	6.700000000000003	-7	-2	1.200000000000001	2.4000000000000004	0.20000000000000018	0.10000000000000009	7.7	3.3	-100	-10.1	-9.8	0	10.7	-3.3	7.2	-2.3	-0.5	11.3	22.6	14.3	7.1	31	478	509	PGY2	447	93.9	Predominant	PGY2 Predominant
Dermatology	PGY1	2021	13	30	0	214	265	25	30	83.3	100	345	423	11.7	11.3	1.6	1.6	-1	-1	0	19	26	2	-1	9.099999999999994	0	41	56	-0.10000000000000142	-1.6999999999999993	0	0.10000000000000009	-7.1	-3.2	NA	9.7	10.9	8.7	-3.2	12.3	0	13.5	15.3	-0.8	-13.1	0	6.7	30	477	507	PGY2	447	94.1	Predominant	PGY2 Predominant
Dermatology	PGY1	2022	14	30	1	240	302	24	28	80	93.3	342	440	10	9.3	1.4	1.5	1	0	1	26	37	-1	-2	-3.299999999999997	-6.700000000000003	-3	17	-1.6999999999999993	-2	-0.20000000000000018	-0.10000000000000009	7.7	0	Inf	12.1	14	-4	-6.7	-4	-6.7	-0.9	4	-14.5	-17.7	-12.5	-6.3	30	492	522	PGY2	462	94.3	Predominant	PGY2 Predominant
Dermatology	PGY2	2012	107	340	8	385	508	288	329	84.7	96.8	3108	3507	74.8	64.8	8.1	6.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	340	363	PGY2	317	93.7	Predominant	PGY2 Predominant
Dermatology	PGY2	2013	109	369	6	442	574	316	362	85.6	98.1	3288	3697	71.5	63.1	7.4	6.4	2	29	-2	57	66	28	33	0.8999999999999915	1.2999999999999972	180	190	-3.299999999999997	-1.6999999999999957	-0.6999999999999993	-0.5	1.9	8.5	-25	14.8	13	9.7	10	1.1	1.3	5.8	5.4	-4.4	-2.6	-8.6	-7.2	38	369	407	PGY2	331	90.7	Predominant	PGY2 Predominant
Dermatology	PGY2	2014	113	380	5	468	601	334	374	87.9	98.4	3461	3917	71.4	62.2	7.4	6.5	4	11	-1	26	27	18	12	2.3000000000000114	0.30000000000001137	173	220	-0.09999999999999432	-0.8999999999999986	0	0.09999999999999964	3.7	3	-16.7	5.9	4.7	5.7	3.3	2.7	0.3	5.3	6	-0.1	-1.4	0	1.6	20	380	400	PGY2	360	95	Predominant	PGY2 Predominant
Dermatology	PGY2	2015	116	385	4	485	644	336	381	87.3	99	3568	4073	69.3	59.2	7.4	6.3	3	5	-1	17	43	2	7	-0.6000000000000085	0.5999999999999943	107	156	-2.1000000000000085	-3	0	-0.20000000000000018	2.7	1.3	-20	3.6	7.2	0.6	1.9	-0.7	0.6	3.1	4	-2.9	-4.8	0	-3.1	22	385	407	PGY2	363	94.6	Predominant	PGY2 Predominant
